,Dialogue Index,Utterance Index,Speaker Index,Utterance,Emotions,Sentiments,Dialogue Acts
0,0,0,1,I am  looking forward to trying local restaurants. The restaurant should be in the moderate price range. The restaurant should be in the centre. The restaurant should serve gastropub food.,5,2,dict_keys([])
1,0,1,2,,-1,-1,dict_keys([])
2,0,2,1,"Once you find a restaurnat, make sure you get phone number, address.",0,0,dict_keys([])
3,0,3,2,Their address is 2 Sturton Street City Centre . Their phone number is 01223306306 . Their postcode is cb12qa.,-1,-1,dict_keys(['Restaurant-Inform'])
4,0,4,1,I am excited about seeing local tourist attractions. The attraction should be in the same area as the restaurant.,5,2,dict_keys([])
5,0,5,2,It 's considered a none . Unfortunately I can not find anything strictly categorized as none in that area can you provide more specifications ?,-1,-1,"dict_keys(['Attraction-Inform', 'Attraction-NoOffer'])"
6,0,6,1,"Once you find an attraction, make sure you get entrance fee, address.",0,0,dict_keys([])
7,0,7,2,There are none available at this time . Does a entrance fee make any difference ?,-1,-1,"dict_keys(['Attraction-NoOffer', 'Attraction-Request'])"
8,0,8,1,I also want to book a taxi to commute between the two places. The taxi should arrive at the restaurant from the attraction by 10:15.,0,0,dict_keys([])
9,0,9,2,Its entrance fee is none . A tesla is booked for you . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform', 'Taxi-Inform'])"
10,0,10,1,"Once you find a taxi, make sure you get car type, phone number.",0,0,dict_keys([])
11,0,11,2,"None is the address. Here is the phone number , none . Is there anything else I can help you with ?",-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
12,1,0,1,I am  looking forward to trying local restaurants. The restaurant should be in the expensive price range. The restaurant should be in the centre. The restaurant should serve thai food.,0,0,dict_keys([])
13,1,1,2,There are no matching records found for that request . You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['Restaurant-NoOffer', 'general-reqmore'])"
14,1,2,1,"Once you find a restaurnat, make sure you get postcode, address.",0,0,dict_keys([])
15,1,3,2,I will book it for you and get a reference number ? It is at 24 Green Street City Centre. It is located in the centre . They serve thai food . Would you like to try bangkok city ? Their postcode is cb23jx.,-1,-1,"dict_keys(['Booking-Inform', 'Restaurant-Inform'])"
16,1,4,1,I am looking for a place to stay. The hotel should be in the west.,0,0,dict_keys([])
